category,min,max
motorcycle,535,535
dance,3374,3374
gambling,893,893
school,11268,11268
surfing,317,317
airplanes,99,99
drugs,2119,2119
motoring,16,16
bicycle,410,410
business,6730,6730
tennis,325,325
soccer,555,555
skiing,183,183
fashion,1736,1736
swimming,558,558
golf,509,509
water_sports,7,7
cars,1007,1007
mythology,174,174
hinduism,11,11
arts,1221,1221
legal,1076,1076
mafia,614,614
outdoor,262,262
music,6432,6432
education,1180,1180
military,2628,2628
weather,711,711
judaism,50,50
psychology,274,274
travel,3285,3285
horseracing,2,2
wrestling,462,462
ships,447,447
baseball,683,683
journalism,161,161
country_music,123,123
olympic_games,90,90
religion,704,704
classical_music,103,103
prison,4062,4062
outer_space,205,205
theater,1276,1276
terrorism,233,233
islam,165,165
animals,1733,1733
buddhism,69,69
crime,4582,4582
racism,287,287
history,6031,6031
political,2762,2762
jazz,582,582
radio,1807,1807
pets,264,264
christmas,1959,1959
sport,936,936
comic-book,294,294
infants,48,48
cinema,1012,1012
cookery,29,29
college--university,5786,5786
nature,3034,3034
science,1480,1480
technology,1348,1348
christianity,151,151
hip_hop,183,183
football,1453,1453
opera,834,834
showbiz,60,60
literature,374,374
basketball,634,634
communism,124,124
disability,224,224
traditions,558,558
medicine,870,870
boxing,621,621
war,8892,8892
aliens,652,652
hockey,308,308
fraud,431,431
martial-arts,489,489
pop--rock,3802,3802
